댓글 작성자,댓글 내용,댓글 작성 시간
Tom,후티 대변인 예전엔 기합이 넘 쳤는데 요새 좀 쫄음 ㅋㅋ,2024-09-30 15:45:17
향용 김,이스라엘은 보복의 끄판왕,2024-09-30 15:45:17
내맘이야,십자군 누구하고 200년동안전쟁했는데,2024-09-30 15:45:22
rtlkfcb,근데 오스만하고 전쟁할 때 팔레스타인에 살던 아랍인들이 오스만 뒤통수 갈김,2024-09-30 15:45:24
이영성,아직도 정신나간놈들 너무많아서 걱정이다,2024-09-30 15:45:26
저출산 문제,극우나라는 일본밖에 없다,2024-09-30 15:45:27
아니아니,미국은 이란을 노리고 있는걷,2024-09-30 15:45:30
손흥메시로날도,지구르르 자꾸흔들어제끼면 섬나라들은 가라안것다 ㅋㅋ,2024-09-30 15:45:32
Like,본인 땅이 아닌 집단은 독 립 못해 침입지야:face-blue-smiling:,2024-09-30 15:45:33
호두마루,이스라엘 국방력 생각보다 뛰어나네 그냥 우리보다 낮다 이렇게만 생각 했는데,2024-09-30 15:45:34
쉿!중요한생각중이에요,환웅이 헛기침을 하자 빅뱅이 시작됐음,2024-09-30 15:45:36
"이준석 띄우기, 명태균 작품",":face-blue-smiling:주한미국대사, 차기 대통령 이재명 접견",2024-09-30 15:45:40
쉿!중요한생각중이에요,됐냐?,2024-09-30 15:45:44
rtlkfcb,자기 600년동안 유럽으로부터 지켜주던 오스만 배신하고 영국하고 손잡았다가 영국한테 사기당함. ,2024-09-30 15:45:47
박성춘,:hand-pink-waving::hand-pink-waving::hand-pink-waving::hand-pink-waving:그리고 울 나라 동해유전...물량이 엄청난거 알쥐?:face-green-smiling::face-green-smiling::face-green-smiling::face-green-smiling:,2024-09-30 15:45:49
밥묵은나?,후티 대변인은 살려줘라 한번씩 목소리들어야 웃는다 ㅋㅋ,2024-09-30 15:45:50
굿바이,극우는 러시아도 대단하지,2024-09-30 15:45:55
의자황,미국이 지금 이스라엘 지원하려고 미군 20만명을 파견 역대급임,2024-09-30 15:45:57
아오,공감 ㅋㅋ,2024-09-30 15:45:59
"이준석 띄우기, 명태균 작품",":person-turqouise-waving:윤석열. 이준석 돌풍, 여론조작 띄우기 정황",2024-09-30 15:46:00
rtlkfcb,영국한테 사기당하고 나서 억울해서 저러고 있음,2024-09-30 15:46:01
"복덩이, 꽃비",거만해진 이스라엘이 악의 축이다 미국을 등에 업고...,2024-09-30 15:46:02
그때 걸마,십자군전쟁때는 살라딘이야,2024-09-30 15:46:02
구영탄,뭘 지켜줘,2024-09-30 15:46:02
rtlkfcb,원래 지 땅도 아닌데,2024-09-30 15:46:04
있을때하자,환웅은 근데 왜 한국을 약소국으로 만들엇냐,2024-09-30 15:46:06
Kim Young,얼마나 능지가 처참하면 박근혜 사기탄핵이라면서 윤석열 한동훈 숭배하는거냐 ㅋㅋ,2024-09-30 15:46:08
구영탄,그냥 오스만 땅이었다고,2024-09-30 15:46:08
그냥,미국은 동맹국이 아니라고 그들은 점령군으로 들어와 아직도 자신들이 그런 위치에 있다고 생각하고 있다고,2024-09-30 15:46:09
Like,팔레스타인 아빠 김정은 푸틴:face-blue-smiling:,2024-09-30 15:46:09
저출산 문제,러시아는 독재국가지 대신,2024-09-30 15:46:12
일신우일신,오스만은 투르크족이잖음,2024-09-30 15:46:12
구영탄,누가 뭘 지켜줘,2024-09-30 15:46:13
Png,이스라엘 모사드 정은이 정리하자,2024-09-30 15:46:15
돌아온 탕자,전쟁하는 나라는 대체적으로 각국의 이익에 따른거다,2024-09-30 15:46:15
"이준석 띄우기, 명태균 작품",:text-green-game-over:윤건희 2022년부터 공천개입 국정농단 정황,2024-09-30 15:46:19
일신우일신,틔루크,2024-09-30 15:46:20
rtlkfcb,아랍은 오스만 아니었으면,2024-09-30 15:46:21
쉿!중요한생각중이에요,코딱지를 파서 날리자 엄청난 원심력으로 초거대 블랙홀이 생김,2024-09-30 15:46:23
탈출지구,"우크라이나 러시아 전쟁도 6개월내에 끝나고, 중동도 조용해 지면.. 이제 미국은 중국에 집중 가능 해진다.. 이게 한국에 제일 이익이 되는 시나리오다",2024-09-30 15:46:23
그리스도인,"신명기 6장 4-5절 오 이스라엘아, 들으라. {주} 우리 하나님은 한 {주}시니 너는 네 마음을 다하고 혼을 다하고 힘을 다하여 {주} 네 하나님을 사랑하라.",2024-09-30 15:46:24
또치,이스라엘 폭죽놀이 잘하네 ㅋㅋㅋㅋㅋ,2024-09-30 15:46:24
rtlkfcb,유럽한테 먹혔음,2024-09-30 15:46:24
일신우일신,투르크 틔르크,2024-09-30 15:46:26
그때 걸마,십자군 전쟁때. 살라딘 이라고,2024-09-30 15:46:29
내맘이야,중동찾지한것은 페리시아 로마 오스만 영국아닌가,2024-09-30 15:46:31
오늘처럼,지구좀 아프게 하지마라,2024-09-30 15:46:31
KorGuys,사우디 이번공습에 이스라엘에 영공 열어준것도 줫나 개꿀잼임,2024-09-30 15:46:31
rtlkfcb,유럽이 계속 침공했는데 오스만이 강대국으로서 계속 막아줌,2024-09-30 15:46:35
아오,준비하고 힘을키우지 저놈은 나쁜놈이래요 언제까지 호소질만 할꺼야,2024-09-30 15:46:37
일신우일신,터키 아제르바이잔 투르크 메니스탄,2024-09-30 15:46:37
plin,튀르키예 ,2024-09-30 15:46:38
"이준석 띄우기, 명태균 작품",":face-red-droopy-eyes:국민의힘, 동네 슈퍼도 운영할 능력 없다",2024-09-30 15:46:39
bria ct,이란 쫄았나? 이스라엘 두목은 네타냐후가 안,2024-09-30 15:46:40
쉿!중요한생각중이에요,환웅의 방귀소리가 우주배경복사임,2024-09-30 15:46:42
김희호,이스라엘의 지상전은 투입하지말고 공중 폭격으로 끝내야 한다,2024-09-30 15:46:46
뽀그쟉,"환웅 원래 우리나라가 약소국이 아닌데, 조상이 다 만주, 연해주, 한반도 일대에서 이리저리 다 뺐겨서 그럼. ",2024-09-30 15:46:47
고성연,우리가 이스라엘 보다 나으면 왜 북한핵 제게 못하는데 이스라엘이였다면 북한핵 사라졌다! 우리나라하고 이스라엘은 하늘과땅,2024-09-30 15:46:48
이유석,신의 천벌,2024-09-30 15:46:49
일신우일신,튀르키예,2024-09-30 15:46:50
plin,환웅의 방귀소리가 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2024-09-30 15:46:54
구영탄,뭘 뱄겨,2024-09-30 15:46:56
일신우일신,위구르,2024-09-30 15:46:57
rtlkfcb,"아랍 입장에서는 오스만이 주인집이고, 영국은 외세인데, 외세랑 손잡고 주인 등에 칼 꼽음",2024-09-30 15:46:57
돌아온 탕자,앞으로 이스라엘 인구는 계속 줄고이란에,2024-09-30 15:46:59
쉿!중요한생각중이에요,36억년전에 뀐 방귀소리가 ,2024-09-30 15:46:59
M-J,이스라엘이 남한이었으면 이미 북폭함,2024-09-30 15:46:59
뽀그쟉,석유도 신의주 위쪽에 많이 나옴. ,2024-09-30 15:47:00
일신우일신,돌궐족들,2024-09-30 15:47:01
유성무,우크라이나 전쟁이나 좀 그만하자,2024-09-30 15:47:02
김샘,"이스라엘군이 자기들을 공격하는 1700km나 떨어진 예맨 반군을 비행기로가서 공격했다면,이스라엘의 적인 이란을 비롯한 하마스,히브볼라등이스라엘과 적대관계에 있는 단체들에게무기를 주고 도와주니 북한도 언젠가 이스라엘의 공격을 받게되ㅣㄹ날이 머지않은걱 겉다.어서 기정은 벙커에도 벙커버스터를 100발쯤 날려주기를...",2024-09-30 15:47:02
"복덩이, 꽃비",네타냐후 제거설이 나오면 휴전이 될텐데...,2024-09-30 15:47:03
"이준석 띄우기, 명태균 작품",:person-turqouise-waving:응급실뺑뺑이로 응급환자 34명중 13명 치료받지 못하고 죽어,2024-09-30 15:47:03
Like,투르족독은 모두 싫어 한디고 들없다 땅없이 떠도는 애들이라 들었어:face-blue-smiling:,2024-09-30 15:47:03
M-J,이스라엘 깡따구는 ,2024-09-30 15:47:04
plin,환웅 똥쌀때가 빅뱅이었겠네 ,2024-09-30 15:47:06
저출산 문제,바이든도 그랬잖아 낙수효과따위는없다고,2024-09-30 15:47:11
오지훈,유럽이 한때는 오스만한테 계속 먹혔지 이스탄불 먹히고 동유럽 다 먹혔잖아,2024-09-30 15:47:12
내맘이야,터키가 오스만 본거지구만,2024-09-30 15:47:13
rtlkfcb,팔레스타인은 배신의 댓가를 치르는 중이다. ,2024-09-30 15:47:14
M-J,이스라엘 깡따구는 절대 한국이 따라갈 수 없음,2024-09-30 15:47:20
구영탄,그냥 조선의 역사는 조선을 살던 사람들의 역사고,2024-09-30 15:47:25
아니아니,북한 옆 에 중국 러시아 있는데 이스라엘 이라도 아무것도 못함 ,2024-09-30 15:47:26
"이준석 띄우기, 명태균 작품",":face-orange-raised-eyebrow:이준석, 윤건희 공천개입 2년 숨겨주고 성상납 무혐의",2024-09-30 15:47:27
rtlkfcb,팔레스타인은 오스만 배신하고 영국과 손 잡은 순간 자기들 운명 결정지은 것.,2024-09-30 15:47:30
Png,우리나라 도 미군이 주둔하고있다 건들면 골로간다,2024-09-30 15:47:31
그냥,주한미군은 자국의 이익을 안보를 위해 한국에 배치했으나 미.일 .필리핀 아시아 동맹국에서 한국은 과거 애치슨 라인때처럼 빠져있다고 정신들 차려라!,2024-09-30 15:47:33
LIAM GOLD,이스라엘에 핵떨어지면 레전드인데,2024-09-30 15:47:37
Like,팔레스타인 아빠 김정은 푸틴:face-blue-smiling:,2024-09-30 15:47:38
M-J,ㄴㄴ 이스라엘은 나라 망가져도 북폭했을 거임,2024-09-30 15:47:40
아니아니,못함 ,2024-09-30 15:47:49
에치케이,님들아 터키랑 튀르키예랑 다른나라임?,2024-09-30 15:47:50
고성연,이지구상 푸틴을 제거할수 있는 기관이 유일한 모사드란걸 알라,2024-09-30 15:47:51
M-J,북폭은 미국쪽이 검토를 했ㄲ던 것임,2024-09-30 15:47:52
아니아니,미국도 못하는데 ,2024-09-30 15:47:52
M-J,우리가 반대한걱도,2024-09-30 15:47:55
오지훈,같은나라,2024-09-30 15:47:58
천병호,이란 애들 겁먹어나,2024-09-30 15:47:59
M-J,북폭 반대한건 우리 정부임,2024-09-30 15:48:00
rtlkfcb,터키 = 투르키예 =/= 오스만,2024-09-30 15:48:02
내맘이야,오스만제국 중국까지먹을뻔해지,2024-09-30 15:48:06
plin,아무도 이스라엘한테 못깝침 지금 미국이 항공모함 보내놔서 ,2024-09-30 15:48:06
손흥메시로날도,이상기후 태풍 폭우 폭설 지진 이라다 지구가 사과 쪼개지듯 반으로 쪼개질라,2024-09-30 15:48:13
탈출지구,이스라엘이 이기면.. 한국에 이익이야.. 먼 남 걱정이냐..에휴..,2024-09-30 15:48:15
rtlkfcb,터키는 오스만의 일부이지만 오스만이 터키라고 할 수는 없다. 오스만은 제국이었으므로,2024-09-30 15:48:18
아니아니,우리 정부가 반대 한거 맞는데 미국도 못함 ,2024-09-30 15:48:18
"복덩이, 꽃비",푸틴과 네타냐후 둘다 제거해야 함,2024-09-30 15:48:19
박성춘,간첩들은 518 재조사후 끝장난다.:face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out:,2024-09-30 15:48:19
구영탄,헤즈볼라가 되겄냐? 일개 당 무장조직이 ㅋㅋㅋㅋ,2024-09-30 15:48:20
쉿!중요한생각중이에요,본래 환단고기 찌끄레기들한테는 그렇게 얘기해줘야함,2024-09-30 15:48:24
M-J,미국은 함..,2024-09-30 15:48:25
오지훈,오스만 전성기때는 유럽이 다 같이 힘 합해도 밀렸다 ㅋㅋㅋ,2024-09-30 15:48:28
psychopath,미국 대신 싸워주네,2024-09-30 15:48:29
아니아니,못함,2024-09-30 15:48:30
뽀그쟉,"이스라엘이 쎈건, 정치적 이유나 주변국 눈치 안고보 사생결단으로 나라를 지킨다는거야. 우리나라였으면 여기저기 시위에 어쩔줄 몰라할껄. ",2024-09-30 15:48:31
밥묵은나?,다른나라ㅋㅋ 터키는 옛날 튀르키예는 현재ㅋ,2024-09-30 15:48:32
고성연,미국도 못 하는 작전을 이스라엘은 해난다!,2024-09-30 15:48:33
M-J,미국이 우리 국민 죽는거 사실 관계 없음,2024-09-30 15:48:35
Cheong NoluGwi,ㅋㅋㅋㅋㅋㅋㅋ 최강 정규군이레.ㅋㅋㅋㅋ,2024-09-30 15:48:35
아니아니,러시아 중국에는 미국도 못함,2024-09-30 15:48:36
"이준석 띄우기, 명태균 작품",":face-blue-smiling:주한미국대사, 차기 대통령 이재명 접견",2024-09-30 15:48:37
구영탄,이스라엘 정규군을 어떻게 이겨? ㅋㅋㅋㅋㅋ,2024-09-30 15:48:38
rtlkfcb,ㅇㅇ 오스만이 세계 최강대국이었음,2024-09-30 15:48:38
탈출지구,중동과 러시아가 전쟁에 이기면.. 한국 경제 나락간다.. 얘덜아..,2024-09-30 15:48:40
plin,환단고기 구워먹으면 맛있음?,2024-09-30 15:48:40
psychopath,솔까 이란 헤즈볼라 담당 일진해주고 있음,2024-09-30 15:48:43
구영탄,뭔 또 세계 최강대국이야,2024-09-30 15:48:50
내맘이야,오스만을 그냥터키라고해야지 페르시아는이란,2024-09-30 15:48:52
rtlkfcb,"팔레스타인은 오스만 뒤에서 꿀 빨다가, 간신배처럼 영국으로 갈아탐.",2024-09-30 15:48:55
Png,이스라엘 은 lmF와도 북한 폭격 한다,2024-09-30 15:48:56
"이준석 띄우기, 명태균 작품",":person-turqouise-waving:윤석열. 이준석 돌풍, 여론조작 띄우기 정황",2024-09-30 15:48:57
rtlkfcb,근데 영국이 배신 ㅋㅋㅋㅋㅋㅋㅋ,2024-09-30 15:49:00
손흥메시로날도,다뒤져부러,2024-09-30 15:49:02
아니아니,미국이 세계 최고 맞는데 러시아 중국에는 지금 이스라엘 이란 한테 하는것 처럼 절대 못함,2024-09-30 15:49:06
뽀그쟉,"경기도나 서울에 몇발맞고, 한2~3달 전쟁벌리면, 여기저기서 시위하고 난리날껄. ",2024-09-30 15:49:07
rtlkfcb,영국이 팔레스타인 배신한 건 진짜 인과응보,2024-09-30 15:49:08
아니아니,승인도 안해줌,2024-09-30 15:49:09
아오,이슬람은 국제사회 기여가 없어서 승리하든 패망하든 기름값 주식 라면값 꿈쩍도 안해,2024-09-30 15:49:10
돌아온 탕자,이란은 인구가 계속 늘고 이스라엘은 계속 줄고 미래가 불불명 하니 이스라엘도 지금 가능할때 적대세력 청소 해놓으려 하는것이 펙트다.,2024-09-30 15:49:11
hankugmin kim,후티폭격은잘했는데한번더해서제기불능으로만들어라,2024-09-30 15:49:12
구영탄,아는척 드럽게 하는데 맞는 얘기가 읍어,2024-09-30 15:49:14
구영탄,ㅋㅋㅋㅋㅋ,2024-09-30 15:49:15
오지훈,터키랑 아랍이랑 민족 자체가 다르니 걔네들도 어쩔수 없는거지,2024-09-30 15:49:16
"이준석 띄우기, 명태균 작품",:text-green-game-over:윤건희 2022년부터 공천개입 국정농단 정황,2024-09-30 15:49:16
rtlkfcb,팔레스타인 영국한테 사기당하고 지금까지 징징대는 중,2024-09-30 15:49:19
에치케이,오스만은 전구로 유명한회사아닌가요?,2024-09-30 15:49:21
Euren,미국 군함 북한에 납치됐을때 미국이 첨에 북한에 핵 떨굴려고 했었지 ㅋㅋ,2024-09-30 15:49:25
에치케이,오스만 전구,2024-09-30 15:49:25
저출산 문제,유대인들이 현명하긴하네 독재국가들 쳐부수고있잖어 ㅋㅋ,2024-09-30 15:49:28
Cheong NoluGwi,도대체 ytn 기자 어디서 취재해오는거야..거의가짜뉴스수준이네..헤즈블라가세계 최고 군대야.ㅋ.ㅋㅋ,2024-09-30 15:49:29
밤바다,김정일이 머리에도 한방,2024-09-30 15:49:30
psychopath,어차피 서울 경기가 입김이 더 쎔,2024-09-30 15:49:31
plin,구영탄 누구요?,2024-09-30 15:49:33
psychopath,지방에서 징징거려봐야,2024-09-30 15:49:34
"이준석 띄우기, 명태균 작품",":face-red-droopy-eyes:국민의힘, 동네 슈퍼도 운영할 능력 없다",2024-09-30 15:49:36
고성연,러시아가 제일 두려워 하는 나라가 미국도 아니요 이스라엘 영국 일본이다!,2024-09-30 15:49:36
psychopath,알빠노임,2024-09-30 15:49:37
rtlkfcb,구영탄 닉값 하네 능지가ㅋㅋ,2024-09-30 15:49:51
유재성,저것도 조밀간 가겄네,2024-09-30 15:49:55
구영탄,뭔 러시아가 누굴 두려워해 ㅋㅋㅋㅋㅋ,2024-09-30 15:49:55
박성춘,518가짜 재조사 하라~~~:face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out:,2024-09-30 15:49:56
M-J,사실 당시 미국국민 대부분이 한국 어디에 붙어 있는 줄도 모르는데..한국민들 죽든 말든,2024-09-30 15:49:57
창su bea,사피에딘 쟤도 오래못살겠네 ㅋㅋㅋㅋ,2024-09-30 15:49:58
"이준석 띄우기, 명태균 작품",:person-turqouise-waving:응급실뺑뺑이로 응급환자 34명중 13명 치료받지 못하고 죽어,2024-09-30 15:50:00
또치,헤즈볼라가 훈련이 잘된 군대 ㅋㅋㅋㅋㅋ아무것도 못하눈것들 ㅋㅋㅋㅋㅋㅋㅋㅋ입 벌구,2024-09-30 15:50:01
오지훈,저것도 다 영국 프랑스가 싸 놓은 똥인데 오래 가네,2024-09-30 15:50:02
Cheong NoluGwi,헤즈블라가 세계 최강이라서...주요 간부들 다 뒤졋나..ㅋ,2024-09-30 15:50:08
김희호,이스라엘은 하마스 약체가 2백발의 미사일을 날릴때 나라가 공중폭발될수도 있다는 것을 뼈저리게 느꼈을 것이다 어느나라의 휴전 요구에도 응하지 않을 것이고 헤즈블라 군사력을 무력화시켜야만 휴전이나 평화협상에 응할것,2024-09-30 15:50:11
손흥메시로날도,댓글달고 닜는 지금이 가장 행복한줄 알야야 한다,2024-09-30 15:50:12
M-J,우리 시선으로 미국을 보면 안됩니다,2024-09-30 15:50:14
류락희,이스라엘이 깡패구나,2024-09-30 15:50:20
탈출지구,기자넘 먼 소리냐.. 헤즈볼라가 빨리 회복해야 한다는 거야?? 참나,2024-09-30 15:50:24
"이준석 띄우기, 명태균 작품",":face-orange-raised-eyebrow:이준석, 윤건희 공천개입 2년 숨겨주고 성상납 무혐의",2024-09-30 15:50:24
